Idcomu,Comunidad,Total,Varones,Mujeres
1,andalucía,8059461,3999243,4060218
2,aragón,1296655,646996,649659
3,asturias,1074862,515292,559570
4,balears,1030650,517593,513057
5,canarias,2025951,1015493,1010458
6,cantabria,572824,280283,292541
7,castillayleón,2528417,1251082,1277335
8,castillalamancha,1977304,995668,981636
9,cataluña,7210508,3578176,3632332
10,comunitatvalenciana,4885029,2432162,2452867
11,extremadura,1089990,541692,548298
12,galicia,2772533,1337159,1435374
13,madrid,6081689,2943778,3137911
14,murcia,1392117,706326,685791
15,navarra,605876,302330,303546
16,paísvasco,2141860,1046795,1095065
17,rioja,308968,155773,153195
18,ceuta,76603,38913,37690
19,melilla,69440,35208,34232
