Idcomu,Comunidad,Total,Varones,Mujeres
1,andalucía,8202220,4071500,4130720
2,aragón,1326918,664403,662515
3,asturias,1080138,518291,561847
4,balears,1072844,540395,532449
5,canarias,2075968,1040137,1035831
6,cantabria,582138,285469,296669
7,castillayleón,2557330,1269338,1287992
8,castillalamancha,2043100,1033131,1009969
9,cataluña,7364078,3661028,3703050
10,comunitatvalenciana,5029601,2508433,2521168
11,extremadura,1097744,546192,551552
12,galicia,2784169,1344268,1439901
13,madrid,6271638,3040658,3230980
14,murcia,1426109,722999,703110
15,navarra,620377,310282,310095
16,paísvasco,2157112,1055150,1101962
17,rioja,317501,160342,157159
18,ceuta,77389,39385,38004
19,melilla,71448,36336,35112
