Idcomu,Comunidad,Total,Varones,Mujeres
1,andalucía,8302923,4113383,4189540
2,aragón,1345473,673819,671654
3,asturias,1085289,520916,564373
4,balears,1095426,551079,544347
5,canarias,2103992,1052636,1051356
6,cantabria,589235,288735,300500
7,castillayleón,2563521,1272020,1291501
8,castillalamancha,2081313,1051668,1029645
9,cataluña,7475420,3713765,3761655
10,comunitatvalenciana,5094675,2537898,2556777
11,extremadura,1102410,547550,554860
12,galicia,2796089,1349603,1446486
13,madrid,6386932,3094874,3292058
14,murcia,1446520,731609,714911
15,navarra,630578,315486,315092
16,paísvasco,2172175,1062412,1109763
17,rioja,321702,162173,159529
18,ceuta,78674,40118,38556
19,melilla,73460,37244,36216
