Idcomu,Comunidad,Total,Varones,Mujeres
1,andalucía,8370975,4144856,4226119
2,aragón,1347095,673177,673918
3,asturias,1084341,520402,563939
4,balears,1106049,555204,550845
5,canarias,2118519,1058706,1059813
6,cantabria,592250,289931,302319
7,castillayleón,2559515,1268860,1290655
8,castillalamancha,2098373,1059149,1039224
9,cataluña,7512381,3724515,3787866
10,comunitatvalenciana,5111706,2542949,2568757
11,extremadura,1107220,549721,557499
12,galicia,2797653,1350547,1447106
13,madrid,6458684,3124438,3334246
14,murcia,1461979,738627,723352
15,navarra,636924,318423,318501
16,paísvasco,2178339,1064708,1113631
17,rioja,322415,161884,160531
18,ceuta,80579,41269,39310
19,melilla,76034,38819,37215
